2025-06-04 09:33:46
Parameters:
init_smi: CC
program_name: cc
output_path: .\case3\results
pocket_file: .\case3\imatinib_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 8000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
0,0.927,0.398,4.017,CC(C)=O
1,0.638,0.248,4.957,CCC(O)ONN
2,0.76,0.425,4.008,C=CCN
3,0.842,0.487,3.965,CCC(C)O
4,0.823,0.487,4.661,N#CCCCN
5,0.638,0.248,4.957,CCC(O)ONN
6,0.75,0.41,4.436,CCN=O
7,0.554,0.361,4.626,CONN=N
8,0.597,0.344,4.983,CNC(C#N)ON
9,0.779,0.374,4.076,CON
10,0.762,0.411,4.804,CCNCCN=O
11,0.723,0.341,4.699,CCONN
12,0.822,0.436,4.24,CC(O)CO
13,0.723,0.341,4.699,CCONN
14,0.622,0.268,5.243,CNOC(=N)C#N
15,0.683,0.453,4.575,C=C(C#N)CN
16,0.793,0.315,4.186,CCNN
17,0.819,0.403,4.016,CCC=O
18,0.6,0.343,4.426,N=CCON
19,0.774,0.451,4.154,O=CCCO
20,0.723,0.341,4.699,CCONN
21,0.819,0.403,4.016,CCC=O
22,0.493,0.318,4.354,NC=C=C=C=O
23,0.891,0.407,3.994,CCO
24,0.66,0.27,4.224,C#CCOO
25,0.598,0.212,4.631,C#CC(=C)ONN
26,0.723,0.341,4.699,CCONN
27,0.59,0.434,4.228,OC1=CCOO1
28,0.774,0.312,3.972,O=NO
29,0.636,0.363,4.568,CCN=NO
30,0.895,0.432,3.957,CCOC
31,0.673,0.356,4.809,CCON(N)O
32,0.891,0.407,3.994,CCO
33,0.713,0.368,4.257,C=C(O)OCN
34,0.603,0.396,3.975,CC=C=N
35,0.793,0.315,4.186,CCNN
36,0.722,0.156,4.605,CC(=N)NN
37,0.723,0.341,4.699,CCONN
38,0.793,0.315,4.186,CCNN
39,0.847,0.484,4.226,COCCN
40,0.55,0.364,4.612,C=CC(O)C=N
41,0.746,0.408,4.4,NCCON
42,0.82,0.514,4.526,CCC(=O)CO
43,0.873,0.505,4.3,CCNCC
44,0.657,0.344,3.82,C=C
45,0.793,0.315,4.186,CCNN
46,0.516,0.366,3.762,N=N
47,0.928,0.491,4.157,CCC(=O)O
48,0.723,0.341,4.699,CCONN
49,0.723,0.341,4.699,CCONN
50,0.927,0.398,4.017,CC(C)=O
51,0.746,0.408,4.4,NCCON
52,0.788,0.352,4.29,CCC(=N)O
53,0.759,0.466,4.292,N#CCCN
54,0.662,0.223,4.368,CCONC#N
55,0.85,0.526,4.565,N#CCCCCN
56,0.692,0.306,4.156,C=C(O)OOC
57,0.659,0.306,4.678,CCONN=O
58,0.907,0.401,4.44,CC(N)=O
59,0.657,0.169,4.476,C=C(C=O)OOC
60,0.637,0.399,4.422,CCC(O)OC#N
61,0.505,0.419,4.31,C1=NNOC1
62,0.85,0.526,4.565,N#CCCCCN
63,0.58,0.389,4.513,CCN=NON
64,0.916,0.385,3.839,CCC
65,0.603,0.278,4.584,N#CN=CCC=O
66,0.792,0.479,4.336,CCCON
67,0.739,0.348,4.349,CNOCCN
68,0.872,0.466,4.367,CCCCC#N
69,0.661,0.322,4.758,CCONNO
70,0.664,0.424,4.149,CN=CCO
71,0.521,0.442,4.447,N=c1cnoo1
72,0.83,0.436,4.266,C=CCCC
73,0.689,0.495,4.679,CCC(N)C#N
74,0.748,0.363,4.127,C=C(O)C(C)=N
75,0.726,0.482,4.244,COC(O)C(C)=O
76,0.723,0.341,4.699,CCONN
77,0.817,0.392,5.011,CC(=O)ON
78,0.723,0.341,4.699,CCONN
79,0.723,0.341,4.699,CCONN
80,0.893,0.464,4.048,CCCO
81,0.805,0.396,4.551,CNOCCOC
82,0.819,0.403,4.016,CCC=O
83,0.745,0.313,4.013,C=CC=O
84,0.819,0.403,4.016,CCC=O
85,0.714,0.415,4.874,CCC(=O)ON=N
