a,b,c,d,SMILES
-1,0.811,0.59,8.188,Cc1cccc(CCN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
1000,0.685,0.544,7.9,Cc1cccc(C2CN(c3nc(N)n4nc(-c5ccco5)nc4n3)C(N)O2)c1
1001,0.54,0.496,8.791,CC(c1cccc(C#N)c1N=N)C1Nc2nc(nc3nc(-c4ccco4)nn23)N1C
1002,0.757,0.312,7.914,Cc1cccc(CCN(CN(O)O)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
1003,0.792,0.495,8.488,Cc1ccc(CCN(CN)c2nc(N)n3nc(-c4ccco4)nc3n2)cc1
1004,0.689,0.526,8.885,Cc1cccc(C2=C=CN(c3nc(N)n4nc(-c5ccc(O)o5)nc4n3)C2)c1
1005,0.684,0.147,8.279,Cc1cccc(CC(=O)N(c2nc(NN)n3nc(-c4ccco4)nc3n2)C(O)N=N)c1
1006,0.717,0.265,8.163,Nc1nc(N(CCc2ccccc2)C(O)NO)nc2nc(-c3ccco3)nn12
1007,0.619,0.512,8.38,Cc1ccc(C)c(CC2=Nc3nc(nc4nc(-c5occ(N=O)c5O)nn34)N2C)c1
1008,0.689,0.124,8.628,Cc1cccc(CC(O)N(C(=N)OO)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
1009,0.722,0.128,8.376,Cc1cccc(CCN(C)c2nc(NN)n3nc(-c4cc(NC(=N)O)co4)nc3n2)c1
1010,0.735,0.419,7.683,Nc1nc(N(CCc2ccccc2)C(N)O)nc2nc(-c3ccco3)nn12
1011,0.626,0.607,8.587,Cc1cc2ccc1C(N(C)c1nc(N)n3nc(-c4ccco4)nc3n1)C2
1012,0.643,0.392,7.94,C=C(C(O)c1cccc(C)c1N=O)N(C)c1nc(N)n2nc(-c3ccc(O)o3)nc2n1
1013,0.799,0.481,7.754,Cc1cccc(CCN(CC(=O)O)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
1014,0.599,0.493,8.031,Cc1cccc(C#CN2c3nc(n4nc(-c5ccco5)nc4n3)NC2N)c1
1015,0.593,0.579,7.63,CN(CC1C=Cc2cccc(c2)O1)c1nc(N)n2nc(-c3ccco3)nc2n1
1016,0.712,0.328,6.677,C=Cc1cccc(CC(=C)N(CN)c2nc(N(C)O)n3nc(-c4ccco4)nc3n2)c1
1018,0.724,0.416,8.65,Cc1ccccc1CCN(c1nc(N)n2nc(-c3ccco3)nc2n1)C(N)O
1019,0.665,0.32,8.683,CNc1nc(N(C(N)O)C(N)Cc2cccc(C)c2)nc2nc(-c3ccco3)nn12
1020,0.635,0.241,7.129,Cc1cccc(CC(O)N(C)c2nc(N=O)n3nc(-c4cc(N)co4)nc3n2)c1N
1021,0.625,0.449,8.207,Cc1c2cc(CN(C)c3nc(N=O)n4nc(-c5ccco5)nc4n3)c3cc2[nH]c13
1022,0.684,0.281,8.719,C=C(c1cccc(C)c1)C(C)N(CNN)c1ncn2nc(-c3ccco3)nc2n1
1025,0.749,0.45,8.27,CNc1c(C)cccc1CCN(C)c1nc(N)n2nc(-c3occc3O)nc2n1
1026,0.716,0.413,9.384,CCN(C#Cc1cccc(C)c1)c1nc(N)n2nc(-c3cc(O)co3)nc2n1
1027,0.763,0.361,9.416,C=COCN(CCc1cccc(C)c1)c1nc(N)n2nc(-c3ccco3)nc2n1
1028,0.657,0.27,8.089,Cc1ccc2c(c1)CC(N(C#N)c1nc(NO)n3nc(-c4ccco4)nc3n1)N2
1030,0.749,0.479,8.045,Cc1coc(-c2nc3nc(N(CN)CCc4cc(C)ccc4C)nc(N)n3n2)c1
1031,0.592,0.484,8.128,Cc1cccc(CC(O)N2CNc3nc2nc2nc(-c4occc4O)nn32)c1
1032,0.558,0.36,7.388,Cc1cccc(C(O)C(C)N2c3nc(n4nc(-c5ccco5)nc4n3)NC2(N)O)c1
1033,0.711,0.267,7.662,Cc1cc(CCN(c2nc(N)n3nc(-c4ccco4)nc3n2)C(N)O)ccc1N
1034,0.745,0.582,8.223,Cc1cccc(C(C)CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
1035,0.787,0.495,7.965,Cc1cccc(CCN(CN)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
1036,0.595,0.358,7.631,Cc1ccc(-c2nc3nc(N(CN)C(O)c4nc5ccc4cc5C)nc(N)n3n2)o1
1040,0.675,0.331,8.602,Cc1cccc(CC(N)N(c2nc(N)n3nc(-c4ccco4)nc3n2)C(N)O)c1
1041,0.666,0.606,7.714,CN(CC1=Cc2cccc1c2)c1nc(N)n2nc(-c3ccco3)nc2n1
1042,0.544,0.314,8.134,CNC(ON)N(c1nc(N)n2nc(-c3ccco3)nc2n1)C1Cc2ccc1c(C)c2
1043,0.781,0.334,8.694,NCN(CCc1ccc(N)cc1)c1nc(N)n2nc(-c3ccco3)nc2n1
1044,0.684,0.361,8.477,Cc1ccc2c(c1)CC(N(CN)c1nc(N)n3nc(-c4cc(O)co4)nc3n1)=NN2
1046,0.696,0.189,8.089,Cc1cc(C)cc(C(=O)CN(c2nc(N)n3nc(-c4ccco4)nc3n2)C(O)NO)c1
1047,0.757,0.357,7.538,Cc1cccc(CCN(CN)c2nc(N(C)O)n3nc(-c4ccco4)nc3n2)c1
1048,0.717,0.411,8.334,Cc1ccc(C)c(CCN(c2nc(N)n3nc(-c4ccco4)nc3n2)C(N)O)c1
1049,0.747,0.457,9.059,C=NCN(CCc1ccc(O)c(C)c1)c1nc(N)n2nc(-c3ccco3)nc2n1
1050,0.775,0.552,8.963,Cc1cccc(CCN(C)c2nc(N)n3nc(-c4ccc(O)o4)nc3n2)c1
1051,0.697,0.31,7.832,CC#Cc1cccc(CC(=O)N(c2nc(N)n3nc(-c4ccco4)nc3n2)C(N)O)c1
1052,0.557,0.549,7.878,Nc1nc(N2C(O)Cc3cc4ccc3C2C4)nc2nc(-c3ccco3)nn12
1054,0.588,0.324,7.665,NCN(CC(=O)C1=CC2=C(O)C=C1C2)c1nc(NO)n2nc(-c3ccco3)nc2n1
1055,0.722,0.411,8.274,Cc1ccc(CCN(c2nc(N)n3nc(-c4ccco4)nc3n2)C(N)O)cc1C
1056,0.756,0.406,7.776,CN=CN(CCc1cccc(C)c1)c1nc(N)n2nc(-c3ccco3)nc2n1
1057,0.719,0.383,7.311,Nc1nc(N(C=Cc2ccc(O)c(CO)c2)CN=O)nc2nc(-c3ccco3)nn12
1058,0.744,0.549,8.24,Cc1cccc(C(N)CN(C)c2nc(N)n3nc(-c4ccco4)nc3n2)c1
