2025-06-04 16:47:59
Parameters:
init_smi: Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
program_name: ZM241385
output_path: .\case4\results
pocket_file: .\case4\ZM241385_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 4000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
0,0.612,0.303,7.221,Nc1cc(C(O)CN2Nc3nc2nc2nc(-c4ccco4)nn32)ccc1O
1,0.712,0.254,6.539,CN(c1nc(N)n2nc(-c3ccco3)nc2n1)C(Cc1ccc(O)cc1)OO
2,0.761,0.457,8.378,COc1ccc(C(O)CNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1C
3,0.792,0.525,8.106,COc1ccc(CCNc2nc(N)n3nc(-c4cc(C)co4)nc3n2)cc1C
4,0.76,0.27,7.233,Nc1nc(NCCc2ccc(OO)cc2OO)nc2nc(-c3ccco3)nn12
5,0.803,0.418,7.456,Nc1nc(NCCc2ccc(O)cc2O)nc2nc(-c3ccco3)nn12
6,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
7,0.743,0.289,7.909,CCc1ccc(OO)c(Nc2nc(N)n3nc(-c4cc(NC)co4)nc3n2)c1
8,0.706,0.256,6.966,NOc1oc(-c2nc3nc(NC=Cc4ccc(O)cc4)nc(NO)n3n2)cc1O
9,0.796,0.349,8.355,CCOOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1
10,0.751,0.281,7.756,Cc1cc(OO)ccc1CCNc1nc(N=O)n2nc(-c3ccco3)nc2n1
11,0.709,0.231,7.37,Cc1c(O)ccc(C#CN(C)c2nc(NO)n3nc(-c4ccco4)nc3n2)c1O
12,0.806,0.525,7.868,COc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)c(C)c1C
13,0.783,0.389,7.748,Cc1cc(CN)c(-c2nc3nc(NCCc4ccc(O)cc4)nc(N)n3n2)o1
14,0.688,0.291,8.016,Nc1nc(NCC(=O)c2ccc3c(c2)C#COO3)nc2nc(-c3ccco3)nn12
15,0.697,0.365,7.975,Cc1cc(OO)cc(C)c1CC(C)N(C)c1nc(N)n2nc(-c3ccco3)nc2n1
16,0.751,0.341,7.819,C=C(Cc1ccc(OO)cc1C)Nc1nc(N)n2nc(-c3ccco3)nc2n1
17,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
18,0.749,0.286,8.785,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3cc(O)co3)nc2n1
19,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
20,0.783,0.384,7.155,COc1cc(-c2nc3nc(NCCc4ccc(O)cc4)nc(N)n3n2)oc1O
21,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
22,0.735,0.343,8.44,C=Nc1nc(NC(=O)Cc2ccc(O)cc2N)nc2nc(-c3occc3C)nn12
23,0.582,0.197,7.453,CC(Nc1nc(N)n2nc(-c3ccco3)nc2n1)C(=NO)c1ccc2cc1OO2
24,0.741,0.221,7.548,C=C(Cc1ccc(OO)cc1N)Nc1nc(N)n2nc(-c3ccco3)nc2n1
25,0.758,0.285,8.793,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccc(N)o3)nc2n1
26,0.735,0.266,8.039,C=Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3occc3CC)nn12
27,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
28,0.751,0.186,7.22,NCc1cc(-c2nc3nc(NCC(=O)c4ccc(O)c(O)c4)nc(N)n3n2)oc1O
29,0.641,0.269,8.541,Cc1cc(OO)cc2c1CC(O)N2c1nc(N=N)n2nc(-c3ccco3)nc2n1
30,0.733,0.15,7.024,Cc1c(CCN(C)c2nc(NN)n3nc(-c4ccco4)nc3n2)ccc(OO)c1N
31,0.75,0.268,7.328,Nc1coc(-c2nc3nc(NCCc4ccc(OOO)cc4)nc(N)n3n2)c1
32,0.728,0.338,7.659,Cc1oc(-c2nc3nc(NCC(O)c4ccc(O)cc4)nc(N)n3n2)cc1O
33,0.779,0.317,8.078,Cc1cc(OON)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
34,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
35,0.564,0.252,7.054,Cc1cc(O)oc1-c1nc2nc3nc(n2n1)NN3C(=N)C(O)c1ccc(O)cc1
36,0.768,0.288,7.712,Nc1nc(NCCc2ccc(ONO)c(O)c2)nc2nc(-c3ccco3)nn12
37,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
38,0.732,0.278,8.896,COc1ccc(CC(N)Nc2nc(N)n3nc(-c4ccco4)nc3n2)cc1N
